Url	Domain
https://www.ncbi.nlm.nih.gov/pubmed/11223110	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/12467954	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/24953482  	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/22612720 	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/25862378  	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/26189339  	Sunlight to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/4003592    	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/15654938  	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/9611672	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/18076544 	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/12823078	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/8851643	Light to bipolar disorder
https://www.ncbi.nlm.nih.gov/pubmed/19638195	Sunlight to depression
https://www.ncbi.nlm.nih.gov/pubmed/1477194	Sunlight to depression
https://www.ncbi.nlm.nih.gov/pubmed/23497121	Sunlight to depression
https://www.ncbi.nlm.nih.gov/pubmed/8882914	Sunlight to depression
https://www.ncbi.nlm.nih.gov/pubmed/9197908	Bright light to depression
https://www.ncbi.nlm.nih.gov/pubmed/1791269	Bright light to depression
https://www.ncbi.nlm.nih.gov/pubmed/8848953	Bright light to depression
https://www.ncbi.nlm.nih.gov/pubmed/26433764	Bright light to depression
