https://ehjournal-biomedcentral-com.libproxy.ucl.ac.uk/articles/10.1186/1476-069X-8-34
P.Para:eq(11)	0	1035	1122	the 100 point scale Physical Components Summary (PCS) in the 12-item Short Form (SF-12)	disease diagnosis criteria
P.Para:eq(6)	8	138	170	approximately 25,000?30,000 KJ/m	Sunlight classification / index
P.Para:eq(5)	2	189	235	sampled from the 48 conterminous United States	Data sources
P.Para:eq(4)	10	251	271	cognitive impairment	Investigation aspects
P.Para:eq(11)	0	1002	1019	physical function	other environment factor
P.Para:eq(5)	2	851	925	half male and half female (actual total recruitment: 45% male, 55% female)	Patient Cohort
DIV.Para:eq(0)	0	0	142	Continuous two-week insolation (p = 0.005) but not same-day insolation (p = 0.332) differed significantly by cognitive status (data not shown)	finding-statistics analysis result
P.Para:eq(11)	0	198	216	population density	other environment factor
P.Para:eq(6)	8	115	134	in the central U.S.	Data sources
P.Para:eq(22)	0	1398	1589	future research regarding treatment and lifestyle should in particular focus on elderly people, since the older a participant is, the more likely the participant is to be cognitively impaired	research implication
P.Para:eq(11)	0	426	431	race 	other environment factor
P.Para:eq(11)	0	484	495	alcohol use	other environment factor
P.Para:eq(12)	0	527	545	p-values over 0.10	statistics assessment standard
P.Para:eq(11)	0	933	1000	the Center for Epidemiologic Studies Depression Scale (CES-D) scale	disease diagnosis criteria
P.Para:eq(15)	0	14	163	among participants with depression, low exposure to sunlight was associated with a significantly higher predicted probability of cognitive impairment	The conclusion/finding
P.Para:eq(9)	0	473	593	only 2,326 of the 16,800 participants were excluded due to missing covariates selected for the final multivariable model	exclusion criteria
P.Para:eq(11)	0	1124	1149	season of phone interview	other environment factor
P.Para:eq(9)	0	276	303	leaving 16,800 participants	Patient Cohort
P.Para:eq(17)	8	154	220	circadian rhythms by the hypothalamic suprachiasmatic nuclei (SCN)	indirect affected aspects
P.Para:eq(4)	22	226	255	rates of cognitive impairment	investigation aspects classification/index
P.Para:eq(11)	0	906	923	depression status	other environment factor
P.Para:eq(9)	0	595	618	Chi-squared and t-tests	approach to analysis
P.Para:eq(22)	0	22	157	weather may not only affect mood, but also cognition, has significant implications and needs to be further elucidated in future studies	research implication
P.Para:eq(12)	0	393	414	Backwards elimination	approach to analysis
P.Para:eq(4)	22	129	190	lower levels of sunlight exposure at participants' residences	Sunlight classification / index
P.Para:eq(11)	0	590	609	hypertension status	other environment factor
DIV.Para:eq(2)	4	17	71	depressed participants receiving less than 10,000 KJ/m	The conclusion/finding
P.Para:eq(6)	10	2	30	In late fall or early winter	Data sources
P.Para:eq(22)	0	502	578	light therapy that is prescribed for SAD may also improve cognitive function	suggestion
P.Para:eq(8)	0	55	78	global cognitive status	investigation aspects classification/index
P.Para:eq(11)	0	125	128	sex	other environment factor
P.Para:eq(11)	0	523	544	Body Mass Index (BMI)	other environment factor
P.Para:eq(9)	0	112	128	December 1, 2006	Data sources
P.Para:eq(21)	4	3	15	Eye function	other environment factor
P.Para:eq(7)	0	267	309	 from SAS/GIS with 80% accuracy or greater	inclusion criteria
P.Para:eq(11)	0	335	345	 education	other environment factor
P.Para:eq(12)	0	0	49	T-tests, chi-squared tests, and correlation tests	approach to analysis
P.Para:eq(5)	2	496	661	particularly oversampled from the "Stroke Buckle", a region with even higher stroke mortality along the coastal plains of Georgia, North Carolina, and South Carolina	Data sources
P.Para:eq(5)	0	31	66	participants from the REGARDS study	Data sources
P.Para:eq(6)	10	57	88	approximately 8,000?10,000 KJ/m	Sunlight classification / index
P.Para:eq(5)	2	927	975	At baseline, a telephone interview was conducted	Data collection method
P.Para:eq(12)	0	894	1003	the predicted probabilities and odds ratios (ORs) of cognitive impairment with their 95% confidence intervals	approach to analysis
P.Para:eq(18)	0	36	52	brain blood flow	indirect affected aspects
P.Para:eq(21)	0	62	220	In addition to the imprecision or bias that may be present in any measurement, we could not account for specific psychiatric diagnoses or medicine consumption	limitation
P.Para:eq(20)	0	0	26	Exposure misclassification	limitation
P.Para:eq(11)	0	130	147	geographic region	other environment factor
P.Para:eq(6)	8	32	80	under clear skies in late spring or early summer	Data sources
P.Para:eq(6)	0	74	109	NASA's Marshall Space Flight Center	Data sources
P.Para:eq(7)	0	222	245	SAS/GIS batch geocoding	approach to analysis
P.Para:eq(5)	2	1158	1192	height, weight, and blood pressure	assessment content
P.Para:eq(5)	2	1118	1147	An in-home exam was conducted	Data collection method
P.Para:eq(5)	2	150	184	participants are aged 45 and older	Patient Cohort
P.Para:eq(4)	10	170	230	insolation (the rate of solar radiation received in an area)	Sunlight classification / index
P.Para:eq(11)	0	723	739	high cholesterol	other environment factor
P.Para:eq(22)	0	361	462	insolation may have a relationship with cognition that is independent of, but modified by, depression	suggestion
P.Para:eq(12)	0	1129	1179	temperature, activity level, allergies, and stress	other environment factor
P.Para:eq(7)	0	412	445	a commercially available program 	approach to analysis
P.Para:eq(9)	0	141	260	3,020 patients with poor geocoding (less than 80% accuracy) and a further 33 patients who were missing cognitive scores	exclusion criteria
P.Para:eq(9)	0	0	54	A total of 19,853 participants without previous stroke	Patient Cohort
P.Para:eq(13)	0	723	816	analyzed continuously, so that each component would be equal to the number of points obtained	approach to analysis
P.Para:eq(6)	8	82	114	a typical daily insolation value	Sunlight classification / index
P.Para:eq(5)	2	994	1116	patient's medical history, demographic data, socioeconomic status, stroke-free status, depression, and cognitive screening	assessment content
DIV.Para:eq(1)	2	122	167	Two week insolation categorized by 5,000 KJ/m	finding-statistics analysis result
P.Para:eq(8)	0	92	134	short-term recall and temporal orientation	investigation aspects classification/index
P.Para:eq(6)	0	152	164	2003 to 2006	Data sources
P.Para:eq(11)	0	760	775	diabetes status	other environment factor
